TRADE_ID,PRICE,QUANTITY,BUYER_ORDER_ID,SELLER_ORDER_ID,TRADE_TIME,IS_BUYER_MARKET_MAKER,TRADE_YEAR,TRADE_MONTH,TRADE_DAY,TRADE_HOUR,TRADE_MINUTE,TRADE_SECOND
3234644303,0.7497631148247308,3.562355470149496e-05,22680784005,22680772263,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644300,0.7490739943147844,3.257010715565254e-05,22680784005,22680772282,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644301,0.7491601343785135,3.562355470149496e-05,22680784005,22680772237,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644302,0.7494185545697292,2.4427580366739406e-05,22680784005,22680772953,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644304,0.750107675079704,3.257010715565254e-05,22680784005,22680772307,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644305,0.7502799552071906,2.137413282089698e-05,22680784005,22680771701,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644306,0.7503660952709197,3.562355470149496e-05,22680784005,22680772281,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644307,0.7507967955896788,2.4427580366739406e-05,22680784005,22680773064,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644308,0.750969075717137,3.562355470149496e-05,22680784005,22680772300,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644309,0.7511413558446236,3.257010715565254e-05,22680784005,22680772329,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644310,0.7515720561633259,3.562355470149496e-05,22680784005,22680772328,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644311,0.7521750366095716,3.562355470149496e-05,22680784005,22680772342,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644312,0.7521750366095716,3.257010715565254e-05,22680784005,22680772343,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644313,0.7521750366095716,2.4427580366739406e-05,22680784005,22680773101,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644314,0.7527780170557605,3.562355470149496e-05,22680784005,22680772355,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644315,0.7532087173744912,3.257010715565254e-05,22680784005,22680772133,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644316,0.7533809975019778,2.137413282089698e-05,22680784005,22680771666,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644317,0.7533809975019778,3.562355470149496e-05,22680784005,22680772362,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644318,0.7535532776294644,2.4427580366739406e-05,22680784005,22680773124,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644319,0.7539839779481667,3.562355470149496e-05,22680784005,22680772370,2023-10-10 12:39:53,0,2023,10,10,12,39,53
