Date,Actual Prices,Predicted Prices
2023-10-10 12:43:00,0.88784564,0.82344395
2023-10-10 12:50:06,0.4091653,0.29458183
2023-10-10 12:51:26,0.40546128,0.29898927
2023-10-10 12:50:54,0.46214145,0.2971343
2023-10-10 12:39:53,0.72529936,0.88446337
2023-10-10 12:57:18,0.0520286,0.31574202
2023-10-10 12:46:47,0.75217503,0.6422381
2023-10-10 12:42:23,0.8172969,0.84292936
2023-10-10 12:49:37,0.6122836,0.29247013
2023-10-10 12:43:37,0.96201223,0.8159282
2023-10-10 12:47:44,0.595917,0.30141366
2023-10-10 12:50:37,0.4985787,0.29682577
2023-10-10 12:53:48,0.40770093,0.3033175
2023-10-10 12:58:04,0.0026703419,0.31783026
2023-10-10 12:46:27,0.8269446,0.66987145
2023-10-10 12:52:42,0.387458,0.301836
2023-10-10 12:47:42,0.6172797,0.30118316
2023-10-10 12:58:04,0.0093031265,0.3302706
2023-10-10 12:56:10,0.13851322,0.32491532
2023-10-10 12:59:00,0.1503144,0.32041484
2023-10-10 12:56:10,0.18761306,0.3118315
2023-10-10 12:41:07,0.7737101,0.87284076
2023-10-10 12:42:37,0.8614868,0.8011736
2023-10-10 12:48:53,0.52846926,0.40378746
2023-10-10 12:54:58,0.2715135,0.30749774
2023-10-10 12:41:13,0.78663105,0.8721817
2023-10-10 12:46:39,0.80764925,0.6580943
2023-10-10 12:40:20,0.71780515,0.8801707
2023-10-10 12:43:44,0.9946593,0.81074023
2023-10-10 12:49:00,0.4837626,0.34040827
2023-10-10 12:51:14,0.39943147,0.29835105
2023-10-10 12:39:53,0.7466621,0.88390595
2023-10-10 12:51:14,0.3934878,0.29830587
2023-10-10 12:49:25,0.5557757,0.31223014
2023-10-10 12:59:09,0.18184167,0.32303095
2023-10-10 12:42:55,0.8614868,0.7458545
2023-10-10 12:54:15,0.39865622,0.3044225
2023-10-10 12:58:27,0.09992247,0.31876743
2023-10-10 12:41:13,0.7971401,0.8697487
2023-10-10 12:41:38,0.8426221,0.826153
2023-10-10 12:47:59,0.5556896,0.4701412
2023-10-10 12:47:56,0.5964338,0.38266042
2023-10-10 12:55:39,0.30011198,0.3091722
2023-10-10 12:55:28,0.26737875,0.30877322
2023-10-10 12:58:19,0.043673012,0.31826845
2023-10-10 12:51:11,0.39658886,0.29810077
